구분,보통휘발유,자동차용경유,실내등유
2020년01월,1568.44,1398.40,975.31
2020년02월,1545.29,1369.85,967.82
2020년03월,1469.06,1280.77,933.10
2020년04월,1323.66,1132.44,857.98
2020년05월,1255.08,1065.79,796.46
2020년06월,1322.88,1127.90,800.93
2020년07월,1360.25,1162.90,812.31
2020년08월,1361.09,1163.56,816.77
2020년09월,1352.47,1154.45,816.62
2020년10월,1333.28,1133.96,811.77
2020년11월,1319.59,1119.60,801.97
2020년12월,1367.77,1168.32,818.15
2021년01월,1441.84,1242.35,863.83
2021년02월,1463.22,1263.36,878.27
2021년03월,1513.27,1312.63,897.28
2021년04월,1534.52,1332.74,905.60
2021년05월,1541.51,1338.81,906.40
2021년06월,1577.33,1374.36,913.94
2021년07월,1629.26,1425.54,932.17
2021년08월,1645.75,1440.54,940.89
2021년09월,1642.68,1437.17,942.96
2021년10월,1712.32,1509.29,993.02
2021년11월,1737.39,1549.72,1087.94
2021년12월,1646.37,1468.90,1094.83
2022년01월,1635.22,1453.53,1098.10
2022년02월,1714.61,1536.64,1171.44
2022년03월,1938.46,1826.93,1347.82
2022년04월,1976.53,1906.42,1427.82
2022년05월,1967.07,1964.28,1480.11
2022년06월,2084.00,2089.03,1601.77
